NAME,SIZE,CR,TYPE,ALIGNMENT
Fire Snake,Medium,1,Elemental,neutral evil
Ghoul,Medium,1,Undead,chaotic evil
Giant Hyena,Large,1,Beast,unaligned
Giant Spider,Large,1,Beast,unaligned
Giant Toad,Large,1,Beast,unaligned
Goblin Bossgoblinoid,Small,1,Humanoid,neutral evil
Half-Ogre,Large,1,Giant,chaotic evil
Harpy,Medium,1,Monstrosity,chaotic evil
Spyany race,Medium,1,Humanoid,any
Tiger,Large,1,Beast,unaligned
Yuan-ti Purebloodyuan-ti,Medium,1,Humanoid,neutral evil
Ankheg,Large,2,Monstrosity,unaligned
Awakened Tree,Huge,2,Plant,unaligned
Bandit Captainany race,Medium,2,Humanoid,non-lawful
Berserkerany race,Medium,2,Humanoid,any chaotic
Druidany race,Medium,2,Humanoid,any
Ettercap,Medium,2,Monstrosity,neutral evil
Faerie Dragon (blue),Tiny,2,Dragon,chaotic good
Faerie Dragon (green),Tiny,2,Dragon,chaotic good
Faerie Dragon (indigo),Tiny,2,Dragon,chaotic good
Faerie Dragon (violet),Tiny,2,Dragon,chaotic good
Ghast,Medium,2,Undead,chaotic evil
Giant Boar,Large,2,Beast,unaligned
Giant Constrictor Snake,Huge,2,Beast,unaligned
Giant Elk,Huge,2,Beast,unaligned
Gnoll Pack Lordgnoll,Medium,2,Humanoid,chaotic evil
Green Dragon Wyrmling,Medium,2,Dragon,lawful evil
Lizardfolk Shamanlizardfolk,Medium,2,Humanoid,neutral
Ogre,Large,2,Giant,chaotic evil
Ogre Zombie,Large,2,Undead,neutral evil
Orc Eye of Gruumshorc,Medium,2,Humanoid,chaotic evil
Orogorc,Medium,2,Humanoid,chaotic evil
Saber-Toothed Tiger,Large,2,Beast,unaligned
Swarm of Poisonous Snakesswarm,Medium,2,Beast,unaligned
Basilisk,Medium,3,Monstrosity,unaligned
Bugbear Chiefgoblinoid,Medium,3,Humanoid,chaotic evil
Displacer Beast,Large,3,Monstrosity,lawful evil
Green Hag,Medium,3,Fey,neutral evil
Owlbear,Large,3,Monstrosity,unaligned
Phase Spider,Large,3,Monstrosity,unaligned
Water Weird,Large,3,Elemental,neutral
Werewolfhumanshapechanger,Medium,3,Humanoid,chaotic evil
Wight,Medium,3,Undead,neutral evil
Winter Wolf,Large,3,Monstrosity,neutral evil
Yuan-ti Malisonshapechangeryuan-ti,Medium,3,Monstrosity,neutral evil
Banshee,Medium,4,Undead,chaotic evil
Gnoll Fang of Yeenoghugnoll,Medium,4,Fiend,chaotic evil
Lizard King/Queenlizardfolk,Medium,4,Humanoid,chaotic evil
Orc War Chieforc,Medium,4,Humanoid,chaotic evil
Wereboarhumanshapechanger,Medium,4,Humanoid,neutral evil
Weretigerhumanshapechanger,Medium,4,Humanoid,neutral
Air Elemental,Large,5,Elemental,neutral
Earth Elemental,Large,5,Elemental,neutral
Green Hag (coven),Medium,5,Fey,neutral evil
Revenant,Medium,5,Undead,neutral
Salamander,Large,5,Elemental,neutral evil
Shambling Mound,Large,5,Plant,unaligned
Troll,Large,5,Giant,chaotic evil
Unicorn,Large,5,Celestial,lawful good
Water Elemental,Large,5,Elemental,neutral
Werebearhumanshapechanger,Medium,5,Humanoid,neutral good
Invisible Stalker,Medium,6,Elemental,neutral
Giant Ape,Huge,7,Beast,unaligned
Yuan-ti Abominationshapechangeryuan-ti,Large,7,Monstrosity,neutral evil
Assassinany race,Medium,8,Humanoid,non-good
Hydra,Huge,8,Monstrosity,unaligned
Young Green Dragon,Large,8,Dragon,lawful evil
Treant,Huge,9,Plant,chaotic good
Guardian Naga,Large,10,Monstrosity,lawful good
