NAME,SIZE,CR,TYPE,ALIGNMENT
Faerie Dragon (orange),Tiny,1,Dragon,chaotic good
Faerie Dragon (red),Tiny,1,Dragon,chaotic good
Faerie Dragon (yellow),Tiny,1,Dragon,chaotic good
Ghoul,Medium,1,Undead,chaotic evil
Giant Eagle,Large,1,Beast,neutral good
Giant Hyena,Large,1,Beast,unaligned
Giant Spider,Large,1,Beast,unaligned
Giant Vulture,Large,1,Beast,neutral evil
Goblin Bossgoblinoid,Small,1,Humanoid,neutral evil
Half-Ogre,Large,1,Giant,chaotic evil
Lion,Large,1,Beast,unaligned
Scarecrow,Medium,1,Construct,chaotic evil
Spyany race,Medium,1,Humanoid,any
Thri-kreenthri-kreen,Medium,1,Humanoid,chaotic neutral
Tiger,Large,1,Beast,unaligned
Allosaurus,Large,2,Beast,unaligned
Ankheg,Large,2,Monstrosity,unaligned
Bandit Captainany race,Medium,2,Humanoid,non-lawful
Berserkerany race,Medium,2,Humanoid,any chaotic
Centaur,Large,2,Monstrosity,neutral good
Druidany race,Medium,2,Humanoid,any
Faerie Dragon (blue),Tiny,2,Dragon,chaotic good
Faerie Dragon (green),Tiny,2,Dragon,chaotic good
Faerie Dragon (indigo),Tiny,2,Dragon,chaotic good
Faerie Dragon (violet),Tiny,2,Dragon,chaotic good
Ghast,Medium,2,Undead,chaotic evil
Giant Boar,Large,2,Beast,unaligned
Giant Constrictor Snake,Huge,2,Beast,unaligned
Giant Elk,Huge,2,Beast,unaligned
Gnoll Pack Lordgnoll,Medium,2,Humanoid,chaotic evil
Griffon,Large,2,Monstrosity,unaligned
Lizardfolk Shamanlizardfolk,Medium,2,Humanoid,neutral
Orc Eye of Gruumshorc,Medium,2,Humanoid,chaotic evil
Orogorc,Medium,2,Humanoid,chaotic evil
Rhinoceros,Large,2,Beast,unaligned
Saber-Toothed Tiger,Large,2,Beast,unaligned
Swarm of Poisonous Snakesswarm,Medium,2,Beast,unaligned
Ankylosaurus,Huge,3,Beast,unaligned
Basilisk,Medium,3,Monstrosity,unaligned
Displacer Beast,Large,3,Monstrosity,lawful evil
Giant Scorpion,Large,3,Beast,unaligned
Hobgoblin Captaingoblinoid,Medium,3,Humanoid,lawful evil
Manticore,Large,3,Monstrosity,lawful evil
Phase Spider,Large,3,Monstrosity,unaligned
Werewolfhumanshapechanger,Medium,3,Humanoid,chaotic evil
Wight,Medium,3,Undead,neutral evil
Winter Wolf,Large,3,Monstrosity,neutral evil
Elephant,Huge,4,Beast,unaligned
Ettin,Large,4,Giant,chaotic evil
Gnoll Fang of Yeenoghugnoll,Medium,4,Fiend,chaotic evil
Lizard King/Queenlizardfolk,Medium,4,Humanoid,chaotic evil
Orc War Chieforc,Medium,4,Humanoid,chaotic evil
Wereboarhumanshapechanger,Medium,4,Humanoid,neutral evil
Air Elemental,Large,5,Elemental,neutral
Bulette,Large,5,Monstrosity,unaligned
Earth Elemental,Large,5,Elemental,neutral
Fire Elemental,Large,5,Elemental,neutral
Half-Red Dragon Veteranhuman,Medium,5,Humanoid,any
Hill Giant,Huge,5,Giant,chaotic evil
Revenant,Medium,5,Undead,neutral
Triceratops,Huge,5,Beast,unaligned
Water Elemental,Large,5,Elemental,neutral
Cyclops,Huge,6,Giant,chaotic neutral
Hobgoblin Warlordgoblinoid,Medium,6,Humanoid,lawful evil
Invisible Stalker,Medium,6,Elemental,neutral
Wyvern,Large,6,Dragon,unaligned
Oni,Large,7,Giant,lawful evil
Young Copper Dragon,Large,7,Dragon,chaotic good
Assassinany race,Medium,8,Humanoid,non-good
Tyrannosaurus Rex,Huge,8,Beast,unaligned
